Question,Option1,Option2,Option3,Option4,Answer
Which is the largest ocean?,Arctic,Pacific,Indian,Atlantic,Pacific
Which continent has the most countries?,Africa,Asia,South America,Europe,Africa
Which country has the most islands?,Philippines,Indonesia,Sweden,Finland,Sweden
Which planet has the most moons?,Jupiter,Mars,Saturn,Earth,Saturn
What is the largest planet in our solar system?,Saturn,Earth,Jupiter,Mars,Jupiter
What is the largest planet in our solar system?,Saturn,Mars,Jupiter,Earth,Jupiter
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Mercury,Mars
Where is Mount Everest located?,China,Nepal,Bhutan,India,Nepal
Which is the largest ocean?,Pacific,Atlantic,Indian,Arctic,Pacific
First person on the Moon?,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Michael Collins,Neil Armstrong
Which continent has the most countries?,Africa,Europe,South America,Asia,Africa
What is the smallest country?,Nauru,Vatican City,Monaco,Tuvalu,Vatican City
What is the smallest country?,Nauru,Vatican City,Tuvalu,Monaco,Vatican City
First person on the Moon?,Neil Armstrong,Yuri Gagarin,Buzz Aldrin,Michael Collins,Neil Armstrong
Which planet has the most moons?,Saturn,Earth,Jupiter,Mars,Saturn
Which continent has the most countries?,Africa,South America,Asia,Europe,Africa
Which river is the longest in the world?,Nile,Yangtze,Amazon,Mississippi,Nile
First person on the Moon?,Yuri Gagarin,Buzz Aldrin,Neil Armstrong,Michael Collins,Neil Armstrong
Which planet has the most moons?,Earth,Saturn,Mars,Jupiter,Saturn
What protects Earth from solar winds?,Atmosphere,Ozone Layer,Clouds,Magnetosphere,Magnetosphere
What is the largest planet in our solar system?,Mars,Earth,Jupiter,Saturn,Jupiter
Which planet is known as the Red Planet?,Mercury,Venus,Jupiter,Mars,Mars
Which galaxy do we live in?,Whirlpool,Andromeda,Sombrero,Milky Way,Milky Way
Which planet has the most moons?,Earth,Saturn,Mars,Jupiter,Saturn
Which continent has the most countries?,South America,Asia,Africa,Europe,Africa
Where is Mount Everest located?,Bhutan,India,Nepal,China,Nepal
What is the smallest country?,Vatican City,Monaco,Nauru,Tuvalu,Vatican City
Which galaxy do we live in?,Whirlpool,Andromeda,Milky Way,Sombrero,Milky Way
Which is the hottest planet in the solar system?,Mars,Mercury,Venus,Neptune,Venus
Which planet has the most moons?,Jupiter,Saturn,Mars,Earth,Saturn
Which is the largest desert?,Antarctic,Sahara,Gobi,Kalahari,Antarctic
First person on the Moon?,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Michael Collins,Neil Armstrong
What is the capital of Australia?,Melbourne,Brisbane,Sydney,Canberra,Canberra
What protects Earth from solar winds?,Magnetosphere,Clouds,Ozone Layer,Atmosphere,Magnetosphere
Which is the hottest planet in the solar system?,Neptune,Venus,Mars,Mercury,Venus
What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,Canberra
Which planet is farthest from the sun?,Jupiter,Uranus,Saturn,Neptune,Neptune
Which continent has the most countries?,Africa,Asia,South America,Europe,Africa
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,Mars
Which galaxy do we live in?,Whirlpool,Andromeda,Sombrero,Milky Way,Milky Way
Which is the largest desert?,Antarctic,Gobi,Sahara,Kalahari,Antarctic
Which galaxy do we live in?,Sombrero,Andromeda,Milky Way,Whirlpool,Milky Way
Which is the hottest planet in the solar system?,Venus,Mercury,Neptune,Mars,Venus
What protects Earth from solar winds?,Atmosphere,Ozone Layer,Clouds,Magnetosphere,Magnetosphere
Which is the largest desert?,Kalahari,Gobi,Sahara,Antarctic,Antarctic
Which is the hottest planet in the solar system?,Venus,Mercury,Mars,Neptune,Venus
Which is the hottest planet in the solar system?,Mars,Venus,Neptune,Mercury,Venus
Where is Mount Everest located?,Nepal,India,Bhutan,China,Nepal
Where is Mount Everest located?,India,Bhutan,Nepal,China,Nepal
Which is the hottest planet in the solar system?,Mars,Neptune,Mercury,Venus,Venus
What protects Earth from solar winds?,Magnetosphere,Ozone Layer,Atmosphere,Clouds,Magnetosphere
What is the largest planet in our solar system?,Mars,Earth,Saturn,Jupiter,Jupiter
Which is the largest desert?,Sahara,Gobi,Antarctic,Kalahari,Antarctic
Which galaxy do we live in?,Sombrero,Whirlpool,Andromeda,Milky Way,Milky Way
Where is Mount Everest located?,Bhutan,Nepal,China,India,Nepal
What protects Earth from solar winds?,Ozone Layer,Atmosphere,Magnetosphere,Clouds,Magnetosphere
What is the largest planet in our solar system?,Mars,Jupiter,Earth,Saturn,Jupiter
Which galaxy do we live in?,Andromeda,Sombrero,Whirlpool,Milky Way,Milky Way
What is the smallest country?,Monaco,Tuvalu,Nauru,Vatican City,Vatican City
What is the largest planet in our solar system?,Earth,Jupiter,Saturn,Mars,Jupiter
First person on the Moon?,Michael Collins,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Neil Armstrong
Which planet is farthest from the sun?,Neptune,Jupiter,Uranus,Saturn,Neptune
What is the capital of Australia?,Sydney,Melbourne,Brisbane,Canberra,Canberra
Which continent has the most countries?,Africa,Asia,Europe,South America,Africa
Which planet has the most moons?,Mars,Jupiter,Earth,Saturn,Saturn
Which planet is farthest from the sun?,Neptune,Jupiter,Uranus,Saturn,Neptune
What is the smallest country?,Monaco,Vatican City,Nauru,Tuvalu,Vatican City
Which country has the most islands?,Finland,Sweden,Philippines,Indonesia,Sweden
Which is the hottest planet in the solar system?,Neptune,Mercury,Mars,Venus,Venus
Which is the hottest planet in the solar system?,Neptune,Venus,Mars,Mercury,Venus
What is the largest planet in our solar system?,Jupiter,Mars,Earth,Saturn,Jupiter
Which is the hottest planet in the solar system?,Mars,Venus,Neptune,Mercury,Venus
Which river is the longest in the world?,Amazon,Mississippi,Yangtze,Nile,Nile
Which planet has the most moons?,Jupiter,Saturn,Earth,Mars,Saturn
Which is the hottest planet in the solar system?,Mars,Venus,Neptune,Mercury,Venus
Which continent has the most countries?,Europe,South America,Africa,Asia,Africa
Which country has the most islands?,Philippines,Sweden,Finland,Indonesia,Sweden
What is the largest planet in our solar system?,Jupiter,Earth,Saturn,Mars,Jupiter
What is the capital of Australia?,Melbourne,Canberra,Brisbane,Sydney,Canberra
Which country has the most islands?,Indonesia,Philippines,Finland,Sweden,Sweden
Which galaxy do we live in?,Whirlpool,Milky Way,Andromeda,Sombrero,Milky Way
Which country has the most islands?,Philippines,Sweden,Indonesia,Finland,Sweden
Which galaxy do we live in?,Whirlpool,Sombrero,Milky Way,Andromeda,Milky Way
Which planet is known as the Red Planet?,Mars,Mercury,Venus,Jupiter,Mars
Which galaxy do we live in?,Andromeda,Milky Way,Sombrero,Whirlpool,Milky Way
Which river is the longest in the world?,Mississippi,Nile,Yangtze,Amazon,Nile
First person on the Moon?,Neil Armstrong,Michael Collins,Buzz Aldrin,Yuri Gagarin,Neil Armstrong
Which is the largest ocean?,Indian,Arctic,Atlantic,Pacific,Pacific
Which planet has the most moons?,Mars,Jupiter,Earth,Saturn,Saturn
What is the smallest country?,Nauru,Vatican City,Tuvalu,Monaco,Vatican City
Which planet is farthest from the sun?,Saturn,Uranus,Jupiter,Neptune,Neptune
What is the capital of Australia?,Melbourne,Sydney,Brisbane,Canberra,Canberra
Which is the largest desert?,Antarctic,Kalahari,Sahara,Gobi,Antarctic
Which is the largest desert?,Gobi,Kalahari,Sahara,Antarctic,Antarctic
Where is Mount Everest located?,Nepal,Bhutan,China,India,Nepal
Which planet is known as the Red Planet?,Mercury,Jupiter,Venus,Mars,Mars
Which is the largest ocean?,Arctic,Atlantic,Indian,Pacific,Pacific
Which country has the most islands?,Sweden,Indonesia,Finland,Philippines,Sweden
Which galaxy do we live in?,Sombrero,Milky Way,Whirlpool,Andromeda,Milky Way
Which is the hottest planet in the solar system?,Venus,Mars,Mercury,Neptune,Venus
Which country has the most islands?,Finland,Philippines,Indonesia,Sweden,Sweden
Which country has the most islands?,Sweden,Finland,Indonesia,Philippines,Sweden
Which galaxy do we live in?,Milky Way,Whirlpool,Sombrero,Andromeda,Milky Way
Where is Mount Everest located?,China,Nepal,India,Bhutan,Nepal
What is the capital of Australia?,Sydney,Canberra,Melbourne,Brisbane,Canberra
What is the largest planet in our solar system?,Earth,Mars,Saturn,Jupiter,Jupiter
What is the largest planet in our solar system?,Earth,Saturn,Jupiter,Mars,Jupiter
What is the smallest country?,Nauru,Tuvalu,Monaco,Vatican City,Vatican City
Which galaxy do we live in?,Sombrero,Whirlpool,Andromeda,Milky Way,Milky Way
Which is the largest desert?,Gobi,Sahara,Kalahari,Antarctic,Antarctic
Which continent has the most countries?,South America,Africa,Asia,Europe,Africa
What is the largest planet in our solar system?,Earth,Saturn,Jupiter,Mars,Jupiter
Which planet has the most moons?,Saturn,Jupiter,Earth,Mars,Saturn
What is the largest planet in our solar system?,Earth,Jupiter,Saturn,Mars,Jupiter
What is the smallest country?,Vatican City,Nauru,Tuvalu,Monaco,Vatican City
First person on the Moon?,Neil Armstrong,Yuri Gagarin,Michael Collins,Buzz Aldrin,Neil Armstrong
Which country has the most islands?,Philippines,Indonesia,Sweden,Finland,Sweden
Which planet has the most moons?,Earth,Mars,Jupiter,Saturn,Saturn
Which planet is farthest from the sun?,Jupiter,Saturn,Neptune,Uranus,Neptune
Which country has the most islands?,Indonesia,Philippines,Finland,Sweden,Sweden
What is the largest planet in our solar system?,Saturn,Earth,Jupiter,Mars,Jupiter
Which planet has the most moons?,Earth,Saturn,Jupiter,Mars,Saturn
Which continent has the most countries?,Africa,Asia,South America,Europe,Africa
Which country has the most islands?,Indonesia,Philippines,Finland,Sweden,Sweden
What is the largest planet in our solar system?,Saturn,Earth,Jupiter,Mars,Jupiter
Which galaxy do we live in?,Andromeda,Milky Way,Sombrero,Whirlpool,Milky Way
What is the capital of Australia?,Brisbane,Sydney,Canberra,Melbourne,Canberra
Which galaxy do we live in?,Milky Way,Whirlpool,Andromeda,Sombrero,Milky Way
Which continent has the most countries?,Asia,Africa,Europe,South America,Africa
What is the largest planet in our solar system?,Mars,Earth,Saturn,Jupiter,Jupiter
What protects Earth from solar winds?,Ozone Layer,Atmosphere,Magnetosphere,Clouds,Magnetosphere
Which planet is farthest from the sun?,Neptune,Jupiter,Uranus,Saturn,Neptune
What is the largest planet in our solar system?,Saturn,Earth,Jupiter,Mars,Jupiter
Which country has the most islands?,Sweden,Indonesia,Philippines,Finland,Sweden
Which is the hottest planet in the solar system?,Neptune,Mercury,Mars,Venus,Venus
What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,Canberra
What is the largest planet in our solar system?,Jupiter,Saturn,Earth,Mars,Jupiter
Which is the hottest planet in the solar system?,Mars,Mercury,Neptune,Venus,Venus
Which is the largest ocean?,Arctic,Atlantic,Pacific,Indian,Pacific
What is the largest planet in our solar system?,Mars,Saturn,Jupiter,Earth,Jupiter
What protects Earth from solar winds?,Atmosphere,Ozone Layer,Clouds,Magnetosphere,Magnetosphere
What is the largest planet in our solar system?,Saturn,Jupiter,Earth,Mars,Jupiter
Which planet has the most moons?,Jupiter,Mars,Saturn,Earth,Saturn
What is the smallest country?,Monaco,Nauru,Vatican City,Tuvalu,Vatican City
What is the smallest country?,Nauru,Tuvalu,Vatican City,Monaco,Vatican City
Which planet is farthest from the sun?,Neptune,Saturn,Uranus,Jupiter,Neptune
Which planet is farthest from the sun?,Jupiter,Uranus,Neptune,Saturn,Neptune
Which planet is known as the Red Planet?,Mars,Venus,Mercury,Jupiter,Mars
What is the smallest country?,Monaco,Tuvalu,Nauru,Vatican City,Vatican City
First person on the Moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Michael Collins,Neil Armstrong
Which planet is known as the Red Planet?,Jupiter,Mars,Venus,Mercury,Mars
Which river is the longest in the world?,Amazon,Nile,Yangtze,Mississippi,Nile
Which river is the longest in the world?,Nile,Amazon,Yangtze,Mississippi,Nile
What protects Earth from solar winds?,Clouds,Ozone Layer,Magnetosphere,Atmosphere,Magnetosphere
Which country has the most islands?,Finland,Sweden,Philippines,Indonesia,Sweden
Which planet is farthest from the sun?,Uranus,Jupiter,Neptune,Saturn,Neptune
Which planet is known as the Red Planet?,Mars,Mercury,Venus,Jupiter,Mars
Which continent has the most countries?,Asia,Africa,South America,Europe,Africa
Which planet is farthest from the sun?,Saturn,Jupiter,Neptune,Uranus,Neptune
Which is the largest desert?,Sahara,Antarctic,Gobi,Kalahari,Antarctic
Which is the largest desert?,Sahara,Antarctic,Gobi,Kalahari,Antarctic
What is the capital of Australia?,Canberra,Melbourne,Brisbane,Sydney,Canberra
Which planet has the most moons?,Saturn,Mars,Earth,Jupiter,Saturn
Which river is the longest in the world?,Yangtze,Mississippi,Amazon,Nile,Nile
Which planet is known as the Red Planet?,Mercury,Venus,Jupiter,Mars,Mars
Which is the largest desert?,Sahara,Kalahari,Antarctic,Gobi,Antarctic
What is the smallest country?,Monaco,Nauru,Vatican City,Tuvalu,Vatican City
Which is the largest ocean?,Atlantic,Pacific,Indian,Arctic,Pacific
Which planet is known as the Red Planet?,Mars,Jupiter,Mercury,Venus,Mars
What is the largest planet in our solar system?,Saturn,Jupiter,Earth,Mars,Jupiter
Which river is the longest in the world?,Mississippi,Yangtze,Amazon,Nile,Nile
Which country has the most islands?,Philippines,Finland,Sweden,Indonesia,Sweden
What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,Jupiter
Which river is the longest in the world?,Nile,Mississippi,Amazon,Yangtze,Nile
What protects Earth from solar winds?,Magnetosphere,Atmosphere,Clouds,Ozone Layer,Magnetosphere
Which continent has the most countries?,Africa,Europe,Asia,South America,Africa
Which country has the most islands?,Sweden,Philippines,Finland,Indonesia,Sweden
Which is the largest desert?,Gobi,Sahara,Kalahari,Antarctic,Antarctic
First person on the Moon?,Yuri Gagarin,Michael Collins,Neil Armstrong,Buzz Aldrin,Neil Armstrong
First person on the Moon?,Michael Collins,Neil Armstrong,Yuri Gagarin,Buzz Aldrin,Neil Armstrong
Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Mercury,Mars
What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,Jupiter
Which continent has the most countries?,South America,Asia,Europe,Africa,Africa
Which planet is known as the Red Planet?,Mars,Jupiter,Mercury,Venus,Mars
Which continent has the most countries?,South America,Europe,Asia,Africa,Africa
What protects Earth from solar winds?,Clouds,Atmosphere,Magnetosphere,Ozone Layer,Magnetosphere
What protects Earth from solar winds?,Clouds,Magnetosphere,Ozone Layer,Atmosphere,Magnetosphere
Where is Mount Everest located?,Nepal,India,Bhutan,China,Nepal
First person on the Moon?,Buzz Aldrin,Neil Armstrong,Michael Collins,Yuri Gagarin,Neil Armstrong
What protects Earth from solar winds?,Clouds,Magnetosphere,Ozone Layer,Atmosphere,Magnetosphere
What is the capital of Australia?,Brisbane,Canberra,Sydney,Melbourne,Canberra
Which continent has the most countries?,Europe,Asia,South America,Africa,Africa
Which planet is known as the Red Planet?,Mercury,Mars,Jupiter,Venus,Mars
What protects Earth from solar winds?,Clouds,Ozone Layer,Magnetosphere,Atmosphere,Magnetosphere
Which is the largest ocean?,Arctic,Pacific,Atlantic,Indian,Pacific
What is the capital of Australia?,Melbourne,Sydney,Canberra,Brisbane,Canberra
What is the smallest country?,Vatican City,Monaco,Nauru,Tuvalu,Vatican City
Which is the largest desert?,Antarctic,Gobi,Sahara,Kalahari,Antarctic
Which planet is farthest from the sun?,Jupiter,Neptune,Saturn,Uranus,Neptune
Which is the hottest planet in the solar system?,Neptune,Mars,Mercury,Venus,Venus
Where is Mount Everest located?,India,Bhutan,Nepal,China,Nepal
What is the largest planet in our solar system?,Earth,Mars,Saturn,Jupiter,Jupiter
Which galaxy do we live in?,Andromeda,Whirlpool,Sombrero,Milky Way,Milky Way
Which is the largest ocean?,Pacific,Indian,Arctic,Atlantic,Pacific
What is the capital of Australia?,Brisbane,Sydney,Canberra,Melbourne,Canberra
Which is the largest ocean?,Indian,Atlantic,Pacific,Arctic,Pacific
Which river is the longest in the world?,Mississippi,Amazon,Nile,Yangtze,Nile
What protects Earth from solar winds?,Clouds,Atmosphere,Magnetosphere,Ozone Layer,Magnetosphere
Which planet is farthest from the sun?,Saturn,Neptune,Jupiter,Uranus,Neptune
What protects Earth from solar winds?,Magnetosphere,Atmosphere,Clouds,Ozone Layer,Magnetosphere
What is the largest planet in our solar system?,Mars,Saturn,Jupiter,Earth,Jupiter
What is the capital of Australia?,Canberra,Brisbane,Sydney,Melbourne,Canberra
Which country has the most islands?,Philippines,Sweden,Indonesia,Finland,Sweden
Which country has the most islands?,Finland,Sweden,Philippines,Indonesia,Sweden
What is the smallest country?,Tuvalu,Monaco,Nauru,Vatican City,Vatican City
Which galaxy do we live in?,Milky Way,Whirlpool,Andromeda,Sombrero,Milky Way
Which country has the most islands?,Sweden,Indonesia,Finland,Philippines,Sweden
Which planet is farthest from the sun?,Jupiter,Saturn,Uranus,Neptune,Neptune
Which is the largest desert?,Sahara,Kalahari,Gobi,Antarctic,Antarctic
Which galaxy do we live in?,Milky Way,Sombrero,Andromeda,Whirlpool,Milky Way
What is the largest planet in our solar system?,Saturn,Mars,Jupiter,Earth,Jupiter
What protects Earth from solar winds?,Atmosphere,Ozone Layer,Magnetosphere,Clouds,Magnetosphere
What protects Earth from solar winds?,Atmosphere,Magnetosphere,Clouds,Ozone Layer,Magnetosphere
Which galaxy do we live in?,Sombrero,Andromeda,Whirlpool,Milky Way,Milky Way
Which planet is known as the Red Planet?,Mercury,Mars,Venus,Jupiter,Mars
What is the smallest country?,Monaco,Tuvalu,Vatican City,Nauru,Vatican City
Which is the largest ocean?,Indian,Atlantic,Arctic,Pacific,Pacific
First person on the Moon?,Yuri Gagarin,Buzz Aldrin,Neil Armstrong,Michael Collins,Neil Armstrong
What is the capital of Australia?,Canberra,Melbourne,Brisbane,Sydney,Canberra
First person on the Moon?,Buzz Aldrin,Michael Collins,Yuri Gagarin,Neil Armstrong,Neil Armstrong
Which galaxy do we live in?,Milky Way,Andromeda,Whirlpool,Sombrero,Milky Way
Which continent has the most countries?,Africa,Asia,South America,Europe,Africa
Which country has the most islands?,Philippines,Indonesia,Sweden,Finland,Sweden
What is the largest planet in our solar system?,Earth,Saturn,Jupiter,Mars,Jupiter
Which galaxy do we live in?,Whirlpool,Andromeda,Sombrero,Milky Way,Milky Way
What is the capital of Australia?,Brisbane,Sydney,Canberra,Melbourne,Canberra
Which planet has the most moons?,Earth,Jupiter,Saturn,Mars,Saturn
What protects Earth from solar winds?,Clouds,Atmosphere,Ozone Layer,Magnetosphere,Magnetosphere
What is the smallest country?,Nauru,Monaco,Vatican City,Tuvalu,Vatican City
First person on the Moon?,Yuri Gagarin,Michael Collins,Neil Armstrong,Buzz Aldrin,Neil Armstrong
First person on the Moon?,Buzz Aldrin,Michael Collins,Yuri Gagarin,Neil Armstrong,Neil Armstrong
What is the largest planet in our solar system?,Mars,Jupiter,Earth,Saturn,Jupiter
Which country has the most islands?,Finland,Philippines,Indonesia,Sweden,Sweden
Which planet is farthest from the sun?,Saturn,Jupiter,Neptune,Uranus,Neptune
Where is Mount Everest located?,Bhutan,China,Nepal,India,Nepal
What is the capital of Australia?,Melbourne,Canberra,Brisbane,Sydney,Canberra
Which is the largest ocean?,Arctic,Pacific,Indian,Atlantic,Pacific
Where is Mount Everest located?,Nepal,China,Bhutan,India,Nepal
Which continent has the most countries?,South America,Europe,Asia,Africa,Africa
Which country has the most islands?,Finland,Indonesia,Sweden,Philippines,Sweden
Which galaxy do we live in?,Whirlpool,Sombrero,Milky Way,Andromeda,Milky Way
What is the smallest country?,Monaco,Vatican City,Tuvalu,Nauru,Vatican City
What is the capital of Australia?,Brisbane,Canberra,Sydney,Melbourne,Canberra
Which planet is farthest from the sun?,Neptune,Saturn,Jupiter,Uranus,Neptune
Which country has the most islands?,Indonesia,Finland,Sweden,Philippines,Sweden
Which is the largest ocean?,Pacific,Arctic,Indian,Atlantic,Pacific
What protects Earth from solar winds?,Magnetosphere,Clouds,Atmosphere,Ozone Layer,Magnetosphere
Which country has the most islands?,Philippines,Finland,Sweden,Indonesia,Sweden
First person on the Moon?,Buzz Aldrin,Michael Collins,Neil Armstrong,Yuri Gagarin,Neil Armstrong
Which country has the most islands?,Sweden,Finland,Indonesia,Philippines,Sweden
Which country has the most islands?,Indonesia,Sweden,Philippines,Finland,Sweden
Which planet is farthest from the sun?,Saturn,Uranus,Jupiter,Neptune,Neptune
First person on the Moon?,Yuri Gagarin,Michael Collins,Buzz Aldrin,Neil Armstrong,Neil Armstrong
Which is the largest ocean?,Indian,Arctic,Pacific,Atlantic,Pacific
Which river is the longest in the world?,Amazon,Yangtze,Nile,Mississippi,Nile
Which galaxy do we live in?,Milky Way,Sombrero,Whirlpool,Andromeda,Milky Way
What protects Earth from solar winds?,Atmosphere,Clouds,Ozone Layer,Magnetosphere,Magnetosphere
Which planet is farthest from the sun?,Jupiter,Neptune,Uranus,Saturn,Neptune
Which river is the longest in the world?,Mississippi,Nile,Yangtze,Amazon,Nile
Which galaxy do we live in?,Andromeda,Whirlpool,Sombrero,Milky Way,Milky Way
Which river is the longest in the world?,Nile,Amazon,Yangtze,Mississippi,Nile
Which planet is farthest from the sun?,Saturn,Uranus,Neptune,Jupiter,Neptune
First person on the Moon?,Neil Armstrong,Buzz Aldrin,Michael Collins,Yuri Gagarin,Neil Armstrong
Which is the largest ocean?,Pacific,Indian,Arctic,Atlantic,Pacific
Where is Mount Everest located?,Nepal,Bhutan,India,China,Nepal
What is the largest planet in our solar system?,Mars,Saturn,Earth,Jupiter,Jupiter
Which galaxy do we live in?,Milky Way,Sombrero,Whirlpool,Andromeda,Milky Way
Which is the largest ocean?,Arctic,Pacific,Indian,Atlantic,Pacific
Which river is the longest in the world?,Mississippi,Nile,Amazon,Yangtze,Nile
Where is Mount Everest located?,Nepal,China,Bhutan,India,Nepal
What is the smallest country?,Tuvalu,Monaco,Nauru,Vatican City,Vatican City
Which planet has the most moons?,Earth,Saturn,Jupiter,Mars,Saturn
Which is the largest desert?,Sahara,Kalahari,Antarctic,Gobi,Antarctic
Which galaxy do we live in?,Andromeda,Sombrero,Whirlpool,Milky Way,Milky Way
Which is the hottest planet in the solar system?,Mercury,Venus,Neptune,Mars,Venus
What is the largest planet in our solar system?,Saturn,Earth,Jupiter,Mars,Jupiter
What protects Earth from solar winds?,Magnetosphere,Clouds,Atmosphere,Ozone Layer,Magnetosphere
Which planet is known as the Red Planet?,Jupiter,Venus,Mercury,Mars,Mars
Which planet is farthest from the sun?,Neptune,Jupiter,Saturn,Uranus,Neptune
Which is the largest ocean?,Arctic,Pacific,Indian,Atlantic,Pacific
What is the largest planet in our solar system?,Jupiter,Mars,Earth,Saturn,Jupiter
What is the smallest country?,Tuvalu,Nauru,Monaco,Vatican City,Vatican City
Where is Mount Everest located?,India,China,Nepal,Bhutan,Nepal
What protects Earth from solar winds?,Magnetosphere,Clouds,Ozone Layer,Atmosphere,Magnetosphere
What is the largest planet in our solar system?,Saturn,Earth,Mars,Jupiter,Jupiter
First person on the Moon?,Yuri Gagarin,Buzz Aldrin,Neil Armstrong,Michael Collins,Neil Armstrong
Which is the largest desert?,Sahara,Kalahari,Antarctic,Gobi,Antarctic
What is the capital of Australia?,Brisbane,Canberra,Melbourne,Sydney,Canberra
Which planet is known as the Red Planet?,Jupiter,Venus,Mercury,Mars,Mars
Which river is the longest in the world?,Amazon,Yangtze,Nile,Mississippi,Nile
What is the smallest country?,Nauru,Tuvalu,Monaco,Vatican City,Vatican City
Which galaxy do we live in?,Sombrero,Milky Way,Andromeda,Whirlpool,Milky Way
Which is the largest desert?,Kalahari,Antarctic,Sahara,Gobi,Antarctic
First person on the Moon?,Michael Collins,Neil Armstrong,Yuri Gagarin,Buzz Aldrin,Neil Armstrong
First person on the Moon?,Michael Collins,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Neil Armstrong
Which planet is known as the Red Planet?,Mercury,Mars,Venus,Jupiter,Mars
Which continent has the most countries?,Asia,South America,Africa,Europe,Africa
Where is Mount Everest located?,China,Bhutan,India,Nepal,Nepal
Which is the hottest planet in the solar system?,Neptune,Mercury,Venus,Mars,Venus
What protects Earth from solar winds?,Ozone Layer,Atmosphere,Magnetosphere,Clouds,Magnetosphere
Which is the hottest planet in the solar system?,Neptune,Mercury,Mars,Venus,Venus
Where is Mount Everest located?,Nepal,Bhutan,India,China,Nepal
Which is the hottest planet in the solar system?,Mercury,Mars,Neptune,Venus,Venus
What protects Earth from solar winds?,Ozone Layer,Clouds,Atmosphere,Magnetosphere,Magnetosphere
Which continent has the most countries?,Europe,South America,Asia,Africa,Africa
Which country has the most islands?,Philippines,Finland,Indonesia,Sweden,Sweden
Where is Mount Everest located?,Nepal,India,Bhutan,China,Nepal
Which planet has the most moons?,Jupiter,Earth,Saturn,Mars,Saturn
Which planet is known as the Red Planet?,Jupiter,Venus,Mercury,Mars,Mars
Which planet is farthest from the sun?,Jupiter,Uranus,Neptune,Saturn,Neptune
What is the smallest country?,Vatican City,Tuvalu,Nauru,Monaco,Vatican City
Which country has the most islands?,Finland,Philippines,Sweden,Indonesia,Sweden
Which is the largest ocean?,Atlantic,Indian,Pacific,Arctic,Pacific
What is the capital of Australia?,Canberra,Melbourne,Brisbane,Sydney,Canberra
Which is the largest ocean?,Pacific,Atlantic,Indian,Arctic,Pacific
What is the largest planet in our solar system?,Jupiter,Earth,Saturn,Mars,Jupiter
What is the smallest country?,Nauru,Tuvalu,Vatican City,Monaco,Vatican City
Which planet is farthest from the sun?,Jupiter,Uranus,Neptune,Saturn,Neptune
Which planet is farthest from the sun?,Uranus,Jupiter,Saturn,Neptune,Neptune
Which river is the longest in the world?,Yangtze,Nile,Mississippi,Amazon,Nile
Which planet is known as the Red Planet?,Mercury,Jupiter,Venus,Mars,Mars
First person on the Moon?,Neil Armstrong,Buzz Aldrin,Michael Collins,Yuri Gagarin,Neil Armstrong
What protects Earth from solar winds?,Clouds,Atmosphere,Magnetosphere,Ozone Layer,Magnetosphere
Which is the hottest planet in the solar system?,Mars,Mercury,Venus,Neptune,Venus
Which planet has the most moons?,Jupiter,Mars,Saturn,Earth,Saturn
Which planet has the most moons?,Earth,Saturn,Jupiter,Mars,Saturn
Which country has the most islands?,Indonesia,Sweden,Philippines,Finland,Sweden
Which is the largest ocean?,Atlantic,Arctic,Indian,Pacific,Pacific
What is the smallest country?,Monaco,Vatican City,Nauru,Tuvalu,Vatican City
Which is the largest ocean?,Arctic,Indian,Atlantic,Pacific,Pacific
Which planet has the most moons?,Saturn,Earth,Jupiter,Mars,Saturn
Where is Mount Everest located?,Nepal,China,India,Bhutan,Nepal
Which planet has the most moons?,Saturn,Mars,Jupiter,Earth,Saturn
Which planet is known as the Red Planet?,Mercury,Venus,Mars,Jupiter,Mars
Which river is the longest in the world?,Amazon,Nile,Yangtze,Mississippi,Nile
Which galaxy do we live in?,Milky Way,Whirlpool,Andromeda,Sombrero,Milky Way
Which river is the longest in the world?,Mississippi,Yangtze,Nile,Amazon,Nile
Which is the largest ocean?,Indian,Arctic,Atlantic,Pacific,Pacific
What is the smallest country?,Tuvalu,Nauru,Monaco,Vatican City,Vatican City
Which river is the longest in the world?,Nile,Amazon,Mississippi,Yangtze,Nile
Which is the hottest planet in the solar system?,Mercury,Mars,Venus,Neptune,Venus
Which continent has the most countries?,Africa,South America,Europe,Asia,Africa
First person on the Moon?,Michael Collins,Neil Armstrong,Yuri Gagarin,Buzz Aldrin,Neil Armstrong
Which is the largest ocean?,Atlantic,Pacific,Arctic,Indian,Pacific
Which river is the longest in the world?,Mississippi,Yangtze,Nile,Amazon,Nile
Which planet is farthest from the sun?,Saturn,Uranus,Neptune,Jupiter,Neptune
First person on the Moon?,Buzz Aldrin,Michael Collins,Yuri Gagarin,Neil Armstrong,Neil Armstrong
